label,data
id,"<button id=""close-panel-btn"" class=""panel-close-icon"" aria-label=""Close Panel""></button>
"
class," <button class=""footer__wrapper--language-select"">Select Language</button>
"
class,"<button type=""button"" class=""close-panel-window"" data-dismiss=""dialog"" aria-label=""Close Window"">
       <span aria-hidden=""true"">×</span>
   </button>"
class,"<button type=""button"" class=""menu-collapse-toggle collapsed"" data-toggle=""collapse"" data-target=""#navbar-collapse"" aria-expanded=""false"">
       <span class=""sr-only"">Toggle Menu</span>
       <span class=""glyphicon-minus-circle""></span>
       <span class=""glyphicon-minus-circle""></span>
       <span class=""glyphicon-minus-circle""></span>
   </button>"
class,"<button type=""button"" class=""icon-exit-window"" data-dismiss=""dialog"" aria-label=""Exit""></button>
"
id,"<button id=""dialog-exit-btn"" class=""dialog-exit-icon"" aria-label=""Exit Dialog""></button>
"
class,"<button class=""footer__wrapper--currency-select"">Select Currency</button>
"
class,"<button type=""button"" class=""close-dialog-window"" data-dismiss=""modal"" aria-label=""Close""> <span aria-hidden=""true"">×</span> </button>"
class,"<button type=""button"" class=""navbar-toggle collapsed"" data-toggle=""collapse"" data-target=""#main-nav"" aria-expanded=""false"">
       <span class=""sr-only"">Toggle Navigation</span>
       <span class=""glyphicon-minus""></span>
       <span class=""glyphicon-minus""></span>
       <span class=""glyphicon-minus""></span>
   </button>"
id,"<button id=""close-pc-btn-handler"" class=""ot-close-icon"" aria-label=""Kapat""></button>"
class,<button class='footer__wrapper--countrywrapper'>Ülke Değiştir</button>
class,"<button type=""button"" class=""close"" data-dismiss=""modal"" aria-label=""Close"">
            <span aria-hidden=""true"">×</span>
          </button>"
class,"<button type=""button"" class=""navbar-toggle collapsed"" data-toggle=""collapse"" data-target=""#main-nav"" aria-expanded=""false"">
                <span class=""sr-only"">Toggle Navigation</span>
                <span class=""glyphicon-minus""></span>
                <span class=""glyphicon-minus""></span>
                <span class=""glyphicon-minus""></span>
            </button>"
class,"<button type=""button"" class=""icon-cancel-1"" data-dismiss=""modal"" aria-label=""Close""></button>"
id,"<button id=""button"" class=""style-scope yt-icon-button"">
    <yt-icon id=""close-icon"" icon=""yt-icons:close"" class=""style-scope ytd-miniplayer""><!--css-build:shady--><!--css-build:shady--><span class=""yt-icon-shape yt-spec-icon-shape""><div style=""width: 100%; height: 100%; display: block; fill: currentcolor;""><svg xmlns=""http://www.w3.org/2000/svg"" enable-background=""new 0 0 24 24"" height=""24"" viewBox=""0 0 24 24"" width=""24"" focusable=""false"" aria-hidden=""true"" style=""pointer-events: none; display: inherit; width: 100%; height: 100%;""><path d=""m12.71 12 8.15 8.15-.71.71L12 12.71l-8.15 8.15-.71-.71L11.29 12 3.15 3.85l.71-.71L12 11.29l8.15-8.15.71.71L12.71 12z""></path></svg></div></span></yt-icon>
  </button>"
id,"<button id=""button"" class=""style-scope yt-icon-button"" aria-label=""Genişlet"">
            <yt-icon class=""style-scope ytd-miniplayer""><!--css-build:shady--><!--css-build:shady--><span class=""yt-icon-shape yt-spec-icon-shape""><div style=""width: 100%; height: 100%; display: block; fill: currentcolor;""><svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 24 24"" focusable=""false"" aria-hidden=""true"" style=""pointer-events: none; display: inherit; width: 100%; height: 100%;""><path d=""M7.41 15.41L12 10.83l4.59 4.58L18 14l-6-6-6 6z""></path></svg></div></span></yt-icon>
          </button>"
id,"<button id=""register-btn"">Register</button>"
class,"<a href='/about' class=""about-link"">About Us</a>"
class,"<div class=""container""><button name='submit-form'>Submit Form</button></div>"
id,"<button id=""search-btn'""class='btn search'>Search</button>"
class,"<a href='/contact' class=""contact-link"">Contact</a>"
id,"<button id=""proceed-btn"" class='btn proceed'>Proceed</button>"
name,"<form><button name=""submit-query"">Submit Query</button></form>"
id,"<a href='/dashboard' id=""dashboard-link"" class='dashboard'>Dashboard</a>"
id,"<button class=""download-btn"" id=""download-btn"">Download</button>"
name,"<div class='sidebar'><button name=""cancel-action"">Cancel Action</button></div>"
id,"<button class=""refresh-btn"" id=""refresh"">Refresh</button>"
class,"<a href='/settings' class=""settings-link"">Settings</a>"
id,"<button id=""upload-btn"" class='btn upload'>Upload</button>"
name,"<button class=""submit-btn'""name=""submit-data"">Submit Data</button>"
id,"<a href='/feedback' id=""feedback-link"" class='feedback'>Feedback</a>"
id,"<div class=""topbar""><button id=""info-btn"">Info</button></div>"
id,"<button class=""close-btn"" id=""close"">Close</button>"
class,"<a href='/services' class=""services-link"">Services</a>"
id,"<button id=""confirm-btn"" class=""btn confirm"">Confirm</button>"
id,"<button class=""pz5bj"" id=""spchx"" aria-label=""kapat""><span style=""height:16px;line-height:16px;width:16px"" class=""z1asCe wuXmqc""><svg focusable=""false"" xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 24 24""><path d=""M19 6.41L17.59 5 12 10.59 6.41 5 5 6.41 10.59 12 5 17.59 6.41 19 12 13.41 17.59 19 19 17.59 13.41 12z""></path></svg></span></button>"
id,"<button id=""menu-toggle-btn"" class=""menu-toggle collapsed"" aria-label=""Toggle Navigation""><span class=""icon-bar""></span><span class=""icon-bar""></span><span class=""icon-bar""></span></button>"
class,"<button class=""close-modal-btn"" aria-label=""Close Modal""><span class=""icon-close""></span></button>"
class,"<button type=""button"" class=""btn btn-primary"" data-toggle=""dropdown"" aria-expanded=""false"">Menu</button>"
id,"<button id=""search-btn"" class=""search-button"" aria-label=""Search""><svg class=""search-icon""><use href=""#search-icon""></use></svg></button>"
class,"<button class=""submit-btn"" type=""submit"" aria-label=""Submit Form"">Submit</button>"
class,"<button class=""cart-toggle"" aria-label=""Toggle Cart""><span class=""cart-icon""></span></button>"
id,"<button id=""filter-btn"" class=""filter-button"" aria-label=""Filter Results""><span class=""filter-icon""></span></button>"
class,"<button type=""button"" class=""btn btn-secondary"" data-dismiss=""alert"" aria-label=""Close Alert""><span aria-hidden=""true"">&times;</span></button>"
id,"<button class=""back-to-top"" id=""scroll-top"" aria-label=""Scroll to Top""><span class=""arrow-up""></span></button>"
"id
","<button id=""more-info"" class=""info-button"" aria-label=""More Information""><svg class=""info-icon""><use href=""#info-icon""></use></svg></button>"
class,"<button type=""button"" class=""sidebar-toggle"" aria-expanded=""false""><span class=""sr-only"">Toggle Sidebar</span><span class=""icon-bar""></span><span class=""icon-bar""></span><span class=""icon-bar""></span></button>"
id,"<button id=""login-btn"" class=""login-button"" aria-label=""Login""><span class=""login-icon""></span></button>"
class,"<button type=""button"" class=""btn btn-light"" data-toggle=""collapse"" data-target=""#details"" aria-expanded=""false"" aria-controls=""details"">View Details</button>"
class,"<button class=""navbar-toggler"" type=""button"" data-toggle=""collapse"" data-target=""#navbarNav"" aria-controls=""navbarNav"" aria-expanded=""false"" aria-label=""Toggle navigation""><span class=""navbar-toggler-icon""></span></button>"
id,"<button type=""button"" class=""btn btn-danger"" id=""delete-btn"" aria-label=""Delete Item"">Delete</button>"
id,"<button id=""contact-support"" class=""support-button"" aria-label=""Contact Support""><span class=""support-icon""></span></button>"
class,"<button class=""settings-toggle"" aria-label=""Open Settings""><span class=""settings-icon""></span></button>"
class,"<button type=""button"" class=""btn btn-info"" data-toggle=""tooltip"" data-placement=""top"" title=""Help"">Help</button>"
class,"<button class=""mobile-menu-toggle"" aria-label=""Open Mobile Menu""><span class=""mobile-menu-icon""></span></button>"
id,"<button id=""play-video"" class=""video-play-btn"" aria-label=""Play Video""><svg class=""play-icon""><use href=""#play-icon""></use></svg></button>"
id,"<button type=""button"" class=""btn btn-success"" id=""save-btn"" aria-label=""Save Changes"">Save</button>"
class,"<button class=""lang-select"" aria-label=""Select Language""><span class=""lang-icon""></span></button>"
class,"<button type=""button"" class=""btn btn-warning"" data-toggle=""modal"" data-target=""#exampleModal"" aria-label=""Open Modal"">Open</button>"
id,"<button id=""fullscreen-btn"" class=""fullscreen-toggle"" aria-label=""Toggle Fullscreen""><span class=""fullscreen-icon""></span></button>"
class,"<button class=""footer-toggle"" aria-label=""Toggle Footer""><span class=""footer-icon""></span></button>"
id,"<button id=""download-btn"" class=""download-button"" aria-label=""Download File""><svg class=""download-icon""><use href=""#download-icon""></use></svg></button>"
id,"<button type=""button"" class=""btn btn-outline-primary"" id=""upload-btn"" aria-label=""Upload File"">Upload</button>"
class,"<button class=""expand-collapse"" aria-label=""Expand or Collapse""><span class=""expand-icon""></span></button>"
id,"<button id=""close-panel"" class=""close-panel-btn"" aria-label=""Close Panel""><span class=""close-icon""></span></button>"
class,"<button type=""button"" class=""icon-close"" data-dismiss=""modal"" aria-label=""Close""></button>"
class,"<button class=""search-icon-btn"" aria-label=""Search""><svg class=""icon""><use href=""#search""></use></svg></button>"
id,"<button id=""accept-btn"" class=""btn btn-accept"" aria-label=""Accept"">Accept</button>"
class,"<button class=""newsletter-signup"" aria-label=""Sign up for Newsletter""><span class=""newsletter-icon""></span></button>"
id,"<button type=""button"" class=""btn btn-dark"" id=""theme-toggle"" aria-label=""Toggle Theme"">Dark Mode</button>"
class,"<button class=""refresh-btn"" aria-label=""Refresh Page""><span class=""refresh-icon""></span></button>"
id,"<button id=""cart-checkout"" class=""checkout-btn"" aria-label=""Proceed to Checkout""><span class=""checkout-icon""></span></button>"
class,"<button type=""button"" class=""btn btn-secondary"" data-toggle=""dropdown"" aria-expanded=""false"">Dropdown</button>"
id,"<button class=""panel-close"" id=""close-panel"" aria-label=""Close Panel""><span style=""height:16px;width:16px"" class=""icon-cancel""><svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 24 24""><path d=""M19 6.41L17.59 5 12 10.59 6.41 5 5 6.41 10.59 12 5 17.59 6.41 19 12 13.41 17.59 19 19 17.59 13.41 12z""></path></svg></span></button>"
id,"<button id=""modal-exit-btn"" class=""modal-exit"" aria-label=""Exit Modal""><span style=""height:18px;width:18px"" class=""icon-close""><svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 24 24""><path d=""M19 6.41L17.59 5 12 10.59 6.41 5 5 6.41 10.59 12 5 17.59 6.41 19 12 13.41 17.59 19 19 17.59 13.41 12z""></path></svg></span></button>"
id,"<button class=""alert-close"" id=""close-alert"" aria-label=""Close Alert""><span style=""height:22px;width:22px"" class=""icon-cancel""><svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 24 24""><path d=""M12 2L2 12l10 10 10-10L12 2z""></path></svg></span></button>"
id,"<button class=""exit-modal"" id=""modal-exit"" aria-label=""Exit Modal""><span style=""height:14px;width:14px"" class=""icon-exit""><svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 24 24""><path d=""M19 6.41L17.59 5 12 10.59 6.41 5 5 6.41 10.59 12 5 17.59 6.41 19 12 13.41 17.59 19 19 17.59 13.41 12z""></path></svg></span></button>"
id,"<button class=""toolbar-close"" id=""close-toolbar"" aria-label=""Close Toolbar""><span style=""height:20px;width:20px"" class=""icon-close""><svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 24 24""><path d=""M12 2L2 12l10 10 10-10L12 2z""></path></svg></span></button>"
id,"<button id=""close-panel-btn"" class=""panel-close"" aria-label=""Close Panel""><span style=""height:24px;width:24px"" class=""icon-cancel""><svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 24 24""><path d=""M12 2L2 12l10 10 10-10L12 2z""></path></svg></span></button>"
id,"<button id=""close-modal"" class=""modal-close-btn"" aria-label=""Close Modal""><span style=""height:16px;width:16px"" class=""icon-exit""><svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 24 24""><path d=""M19 6.41L17.59 5 12 10.59 6.41 5 5 6.41 10.59 12 5 17.59 6.41 19 12 13.41 17.59 19 19 17.59 13.41 12z""></path></svg></span></button>"
id,"<button class=""sidebar-close"" id=""close-sidebar"" aria-label=""Close Sidebar""><span style=""height:26px;width:26px"" class=""icon-cancel""><svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 24 24""><path d=""M12 2L2 12l10 10 10-10L12 2z""></path></svg></span></button>"
id,"<button id=""modal-close"" class=""modal-close-btn"" aria-label=""Close Modal""><span style=""height:30px;width:30px"" class=""icon-close""><svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 24 24""><path d=""M12 2L2 12l10 10 10-10L12 2z""></path></svg></span></button>"
id,"<button class=""popup-close"" id=""close-popup"" aria-label=""Close Popup""><span style=""height:28px;width:28px"" class=""icon-exit""><svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 24 24""><path d=""M19 6.41L17.59 5 12 10.59 6.41 5 5 6.41 10.59 12 5 17.59 6.41 19 12 13.41 17.59 19 19 17.59 13.41 12z""></path></svg></span></button>"
id,"<button id=""alert-close"" class=""alert-close-btn"" aria-label=""Close Alert""><span style=""height:32px;width:32px"" class=""icon-cancel""><svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 24 24""><path d=""M12 2L2 12l10 10 10-10L12 2z""></path></svg></span></button>"
id,"<button class=""modal-close"" id=""modal-exit"" aria-label=""Close Modal""><span style=""height:34px;width:34px"" class=""icon-close""><svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 24 24""><path d=""M12 2L2 12l10 10 10-10L12 2z""></path></svg></span></button>"
id,"<button id=""modal-exit-close"" class=""close-modal-btn"" aria-label=""Close Modal""><span style=""height:36px;width:36px"" class=""icon-exit""><svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 24 24""><path d=""M19 6.41L17.59 5 12 10.59 6.41 5 5 6.41 10.59 12 5 17.59 6.41 19 12 13.41 17.59 19 19 17.59 13.41 12z""></path></svg></span></button>"
id,"<button type=""button"" data-dismiss=""modal"" aria-label=""Close"" id=""closeModal"" class=""close""><span aria-hidden=""true"">×</span></button>"
id,"<button type=""button"" data-dismiss=""alert"" aria-label=""Close"" id=""closeAlert"" class=""close""><span aria-hidden=""true"">×</span></button>"
id,"<button type=""button"" data-toggle=""dropdown"" aria-expanded=""false"" id=""dropdownMenu"" class=""dropdown-toggle"">Menu</button>"
id,"<button type=""button"" data-toggle=""tooltip"" title=""Help"" id=""helpTooltip"" class=""btn btn-info"">Help</button>"
id,"<button type=""button"" data-toggle=""collapse"" data-target=""#details"" aria-expanded=""false"" id=""viewDetails"" class=""btn btn-primary"">View Details</button>"
id,"<button type=""button"" data-toggle=""modal"" data-target=""#exampleModal"" id=""openModal"" class=""btn btn-secondary"">Open</button>"
id,"<button type=""button"" data-dismiss=""modal"" aria-label=""Close"" id=""closeModalSecondary"" class=""close""><span aria-hidden=""true"">×</span></button>"
id,"<button type=""button"" data-toggle=""dropdown"" aria-expanded=""false"" id=""menuDropdown"" class=""dropdown-toggle"">Menu</button>"
id,"<button type=""button"" data-dismiss=""alert"" aria-label=""Close"" id=""closeAlertSecondary"" class=""close""><span aria-hidden=""true"">×</span></button>"
id,"<button type=""button"" data-toggle=""collapse"" data-target=""#settings"" aria-expanded=""false"" id=""settingsCollapse"" class=""btn btn-warning"">Settings</button>"
id,"<button type=""button"" data-toggle=""modal"" data-target=""#infoModal"" id=""infoModalButton"" class=""btn btn-info"">Info</button>"
id,"<button type=""button"" aria-label=""Submit"" id=""submitForm"" class=""btn btn-success"">Submit</button>"
id,"<button type=""button"" data-toggle=""tooltip"" title=""Refresh"" id=""refreshButton"" class=""btn btn-primary"">Refresh</button>"
id,"<button type=""button"" data-dismiss=""modal"" aria-label=""Close"" id=""modalClose"" class=""btn btn-danger"">Close</button>"
id,"<button type=""button"" data-toggle=""dropdown"" aria-expanded=""false"" id=""dropdownToggle"" class=""btn btn-secondary"">Dropdown</button>"
id,"<button type=""button"" data-dismiss=""alert"" aria-label=""Close"" id=""alertClose"" class=""btn btn-danger"">Close</button>"
id,"<button type=""button"" data-toggle=""tooltip"" title=""Settings"" id=""settingsTooltip"" class=""btn btn-secondary"">Settings</button>"
id,"<button type=""button"" data-toggle=""modal"" data-target=""#contactModal"" id=""contactButton"" class=""btn btn-primary"">Contact</button>"
id,"<button type=""button"" aria-label=""Save"" id=""saveChanges"" class=""btn btn-success"">Save</button>"
id,"<button type=""button"" data-dismiss=""modal"" aria-label=""Close"" id=""modalCloseSecondary"" class=""btn btn-danger"">Close</button>"
id,"<button type=""button"" data-toggle=""dropdown"" aria-expanded=""false"" id=""menuDropdownButton"" class=""btn btn-primary"">Menu</button>"
id,"<button type=""button"" data-dismiss=""alert"" aria-label=""Close"" id=""alertCloseButton"" class=""btn btn-warning"">Close</button>"
id,"<button type=""button"" data-toggle=""modal"" data-target=""#infoModalButton"" id=""infoModalLauncher"" class=""btn btn-info"">Info</button>"
id,"<button type=""button"" data-toggle=""collapse"" data-target=""#detailsPanel"" aria-expanded=""false"" id=""detailsToggle"" class=""btn btn-secondary"">Details</button>"
id,"<button type=""button"" aria-label=""Submit Form"" id=""submitFormButton"" class=""btn btn-success"">Submit</button>"
id,"<button type=""button"" data-toggle=""tooltip"" title=""Refresh Page"" id=""pageRefresh"" class=""btn btn-primary"">Refresh</button>"
id,"<button type=""button"" data-dismiss=""modal"" aria-label=""Close Modal"" id=""modalClose"" class=""btn btn-danger"">Close</button>"
id,"<button type=""button"" data-toggle=""dropdown"" aria-expanded=""false"" id=""dropdownMenuButton"" class=""btn btn-secondary"">Menu</button>"
id,"<button type=""button"" data-dismiss=""alert"" aria-label=""Close Alert"" id=""alertCloseButton"" class=""btn btn-warning"">Close</button>"
id,"<button type=""button"" data-toggle=""modal"" data-target=""#infoModal"" id=""infoModalTrigger"" class=""btn btn-info"">Info</button>"
id,"<button type=""button"" data-toggle=""collapse"" data-target=""#settingsPanel"" aria-expanded=""false"" id=""settingsPanelToggle"" class=""btn btn-primary"">Settings</button>"
id,"<button type=""button"" aria-label=""Save Changes"" id=""saveButton"" class=""btn btn-success"">Save</button>"
id,"<button type=""button"" data-dismiss=""modal"" aria-label=""Close"" id=""modalClose"" class=""btn btn-danger"">Close</button>"
id,"<button type=""button"" data-toggle=""dropdown"" aria-expanded=""false"" id=""dropdownMenuToggle"" class=""btn btn-secondary"">Menu</button>"
id,"<button type=""button"" data-dismiss=""alert"" aria-label=""Close"" id=""alertClose"" class=""btn btn-warning"">Close</button>"
id,"<button type=""button"" data-toggle=""modal"" data-target=""#contactModal"" id=""contactModalTrigger"" class=""btn btn-primary"">Contact</button>"
id,"<button type=""button"" data-toggle=""tooltip"" title=""Help"" id=""helpTooltipButton"" class=""btn btn-info"">Help</button>"
id,"<button type=""button"" aria-label=""Submit Form"" id=""submitFormButton"" class=""btn btn-success"">Submit</button>"
id,"<button type=""button"" data-toggle=""modal"" data-target=""#infoModal"" id=""infoModalLauncher"" class=""btn btn-info"">Info</button>"
id,"<button type=""button"" data-toggle=""collapse"" data-target=""#detailsSection"" aria-expanded=""false"" id=""detailsSectionToggle"" class=""btn btn-secondary"">Details</button>"
id,"<button type=""button"" data-dismiss=""modal"" aria-label=""Close"" id=""modalClose"" class=""btn btn-danger"">Close</button>"
id,"<button type=""button"" data-toggle=""dropdown"" aria-expanded=""false"" id=""dropdownMenu"" class=""btn btn-secondary"">Dropdown</button>"
id,"<button type=""button"" data-dismiss=""alert"" aria-label=""Close"" id=""alertCloseButton"" class=""btn btn-warning"">Close</button>"
id,"<button type=""button"" data-toggle=""modal"" data-target=""#infoModal"" id=""infoModalOpen"" class=""btn btn-info"">Info</button>"
id,"<button type=""button"" data-toggle=""collapse"" data-target=""#settingsSection"" aria-expanded=""false"" id=""settingsSectionToggle"" class=""btn btn-primary"">Settings</button>"
id,"<button type=""button"" aria-label=""Save Changes"" id=""saveChangesButton"" class=""btn btn-success"">Save</button>"
id,"<button type=""button"" data-dismiss=""modal"" aria-label=""Close"" id=""modalClose"" class=""btn btn-danger"">Close</button>"
id,"<button type=""button"" data-toggle=""dropdown"" aria-expanded=""false"" id=""dropdownMenu"" class=""btn btn-secondary"">Menu</button>"
id,"<button type=""button"" data-dismiss=""alert"" aria-label=""Close"" id=""alertClose"" class=""btn btn-warning"">Close</button>"
id,"<button type=""button"" data-toggle=""modal"" data-target=""#contactModal"" id=""contactModalButton"" class=""btn btn-primary"">Contact</button>"
id,"<button type=""button"" class=""btn btn-primary btn-ripple"" id=""btn-login"">Login</button>"
id,"<button type=""button"" class=""btn btn-secondary btn-ripple"" id=""btn-register"">Register</button>"
id,"<button type=""button"" class=""btn btn-success btn-ripple"" id=""btn-save"">Save</button>"
id,"<button type=""button"" class=""btn btn-danger btn-ripple"" id=""btn-delete"">Delete</button>"
id,"<button type=""button"" class=""btn btn-warning btn-ripple"" id=""btn-warning"">Warning</button>"
id,"<button type=""button"" class=""btn btn-info btn-ripple"" id=""btn-info"">Info</button>"
id,"<button type=""button"" class=""btn btn-light btn-ripple"" id=""btn-light"">Light</button>"
id,"<button type=""button"" class=""btn btn-dark btn-ripple"" id=""btn-dark"">Dark</button>"
id,"<button type=""button"" class=""btn btn-link btn-ripple"" id=""btn-link"">Link</button>"
id,"<button type=""button"" class=""btn btn-primary btn-ripple"" id=""btn-submit"">Submit</button>"
id,"<button type=""button"" class=""btn btn-secondary btn-ripple"" id=""btn-cancel"">Cancel</button>"
id,"<button type=""button"" class=""btn btn-success btn-ripple"" id=""btn-confirm"">Confirm</button>"
id,"<button type=""button"" class=""btn btn-danger btn-ripple"" id=""btn-remove"">Remove</button>"
id,"<button type=""button"" class=""btn btn-warning btn-ripple"" id=""btn-alert"">Alert</button>"
id,"<button type=""button"" class=""btn btn-info btn-ripple"" id=""btn-info"">Information</button>"
id,"<button type=""button"" class=""btn btn-light btn-ripple"" id=""btn-clear"">Clear</button>"
id,"<button type=""button"" class=""btn btn-dark btn-ripple"" id=""btn-dark-mode"">Dark Mode</button>"
id,"<button type=""button"" class=""btn btn-link btn-ripple"" id=""btn-next"">Next</button>"
id,"<button type=""button"" class=""btn btn-primary btn-ripple"" id=""btn-prev"">Previous</button>"
id,"<button type=""button"" class=""btn btn-secondary btn-ripple"" id=""btn-edit"">Edit</button>"
id,"<button type=""button"" class=""btn btn-success btn-ripple"" id=""btn-apply"">Apply</button>"
id,"<button type=""button"" class=""btn btn-danger btn-ripple"" id=""btn-remove-item"">Remove Item</button>"
id,"<button type=""button"" class=""btn btn-warning btn-ripple"" id=""btn-warning-alert"">Warning Alert</button>"
